,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
26967,PRESERVED_SPECIMEN,Quararibea aurantiocalyx,460,GBIF,,Manuel Vargas,,8.792556,-82.967972,,,1,1,1,,WGS84,2019,
26975,PRESERVED_SPECIMEN,Quararibea aurantiocalyx,1,GBIF,,Manuel Vargas,,8.784722,-82.958333,,,1,1,1,,WGS84,2019,
27004,PRESERVED_SPECIMEN,Quararibea aurantiocalyx,1269,GBIF,,Manuel Vargas,,8.785556,-82.953889,,,1,1,1,,WGS84,2019,
27029,PRESERVED_SPECIMEN,Quararibea aurantiocalyx,2470,GBIF,,Manuel Vargas,,8.792667,-82.970611,,,1,1,1,,WGS84,2019,
47625,PRESERVED_SPECIMEN,Quararibea aurantiocalyx,1421730,GBIF,Lao 526,Manuel Vargas,,8.48222,-81.09805,Cerro Tute,1972.0,1,1,1,,WGS84,2019,E.A. Lao|Alwyn H. Gentry
