,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
11877,PRESERVED_SPECIMEN,Ocotea macrantha,1526786,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11886,PRESERVED_SPECIMEN,Ocotea macrantha,1526791,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11889,PRESERVED_SPECIMEN,Ocotea macrantha,1526789,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11891,PRESERVED_SPECIMEN,Ocotea macrantha,1526785,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11892,PRESERVED_SPECIMEN,Ocotea macrantha,1526788,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11894,PRESERVED_SPECIMEN,Ocotea macrantha,1526787,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11895,PRESERVED_SPECIMEN,Ocotea macrantha,1526790,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11911,PRESERVED_SPECIMEN,Ocotea macrantha,1526993,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11914,PRESERVED_SPECIMEN,Ocotea macrantha,1526997,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11916,PRESERVED_SPECIMEN,Ocotea macrantha,1526995,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11917,PRESERVED_SPECIMEN,Ocotea macrantha,1526998,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11918,PRESERVED_SPECIMEN,Ocotea macrantha,1526991,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11920,PRESERVED_SPECIMEN,Ocotea macrantha,1526992,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11925,PRESERVED_SPECIMEN,Ocotea macrantha,1526994,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46097,PRESERVED_SPECIMEN,Ocotea macrantha,1258286,GBIF,Aguilar Fernández 4649,Manuel Vargas,,8.71,-83.56,"R.F. Golfo Dulce. Península de Osa. Bahia Chal, fuera de la parcela pero cerca.",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46104,PRESERVED_SPECIMEN,Ocotea macrantha,1258328,GBIF,Aguilar Fernández 4688,Manuel Vargas,,8.71,-83.45,"R.F. Golfo Dulce. Cuenca Térraba-Sierpe. Bahia Chal, trocha que va a La Parcela.",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46109,PRESERVED_SPECIMEN,Ocotea macrantha,1258431,GBIF,Aguilar Fernández 4785,Manuel Vargas,,8.71,-83.45,R.F. Golfo Dulce. Cuenca Térraba-Sierpe. Cerca de la parcela. Bahia Chal.,1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
