,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
24713,PRESERVED_SPECIMEN,Licania platycalyx,FMB-64888,GBIF,JM2472,Manuel Vargas,,4.741389,-75.602778,"Vereda El Cedral, finca la Carmencita",2003.0,1,1,1,,WGS84,2019,"Mendoza, J. | Leonardo, F."
24718,PRESERVED_SPECIMEN,Licania platycalyx,FMB-65208,GBIF,15197,Manuel Vargas,,3.598611,-76.685278,"Corregimiento de Bitaco, Vereda Chicoral",2003.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Amaya, J. | Castillo, D."
24722,PRESERVED_SPECIMEN,Licania platycalyx,FMB-65209,GBIF,34,Manuel Vargas,,3.570278,-76.586389,"La Cumbre, Corregimiento de Bitaco, Vereda Chicoral",2003.0,1,1,1,,WGS84,2019,"Ruiz, M. | Mendoza, Humberto | Quevedo, F. | Loaiza, C. | Robles, Aura"
24733,PRESERVED_SPECIMEN,Licania platycalyx,FMB-67283,GBIF,5446,Manuel Vargas,,4.7446720000000004,-76.22841700000001,"Vereda Costa Seca, finca La Española",2003.0,1,1,1,,WGS84,2019,"Vélez, J. | Villa, F."
24739,PRESERVED_SPECIMEN,Licania platycalyx,FMB-68005,GBIF,171,Manuel Vargas,,7.043611,-72.95,"Vereda Cristales, Estación Experimental y Demostrativa El Rasgón",2004.0,1,1,1,,WGS84,2019,"Dueñas, Ariel | Mendoza, Humberto | Sánchez, R. | Robles, Aura | Pérez, L."
24740,PRESERVED_SPECIMEN,Licania platycalyx,FMB-67992,GBIF,16222,Manuel Vargas,,7.043611,-72.95,"Vereda Cristales, Estación Experimental y Demostrativa El Rasgón",2004.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Sánchez, R. | Pérez, L. | Dueñas, Ariel | Angarita, H."
24741,PRESERVED_SPECIMEN,Licania platycalyx,FMB-67993,GBIF,16221,Manuel Vargas,,7.043611,-72.95,"Vereda Cristales, Estación Experimental y Demostrativa El Rasgón",2004.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Sánchez, R. | Pérez, L. | Dueñas, Ariel | Angarita, H."
24756,PRESERVED_SPECIMEN,Licania platycalyx,FMB-72994,GBIF,16220,Manuel Vargas,,7.043611,-72.95,"Vereda Cristales, Estación Experimental y Demostrativa El Rasgón",2004.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Sánchez, R. | Pérez, L. | Dueñas, Ariel | Angarita, H."
24781,PRESERVED_SPECIMEN,Licania platycalyx,FMB-80679,GBIF,16496,Manuel Vargas,,1.81,-76.349722,"Vereda La Castellana, Reserva Natural Privada Los Yalcones, Alrededores de la casa de la reserva",2005.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Robles, Aura"
24830,PRESERVED_SPECIMEN,Licania platycalyx,IAvH-CT-1526,GBIF,JPM 85,Manuel Vargas,,1.1522219999999999,-77.985556,"Reserva Natural La Planada, parcela permanente Instituto Humboldt",2002.0,1,1,1,,WGS84,2019,"Palacio-Mejía, Juan-D."
25016,MATERIAL_SAMPLE,Licania platycalyx,Temp-ADF627,GBIF,HMC-21942,Manuel Vargas,,7.00185,-72.88164,"Vereda La Salina, trocha entre el campamento (7,0029722 / -72,873972) y la quebrada y hacienda San Francisco",2018.0,1,1,1,,WGS84,2019,Humberto Mendoza
27122,PRESERVED_SPECIMEN,Licania platycalyx,0849,GBIF,728,Manuel Vargas,,6.051028,-75.323725,La Chapa,,1,1,1,,WGS84,2019,Sergio Rodríguez; Cristina Gómez
27123,PRESERVED_SPECIMEN,Licania platycalyx,0850,GBIF,1022,Manuel Vargas,,6.116667,-75.516667,El Carmen,,1,1,1,,WGS84,2019,Fernando Alzate; Jorge Sierra
31378,PRESERVED_SPECIMEN,Licania platycalyx,561267,GBIF,4639,Manuel Vargas,,0.35,-79.733333,"Reserva Ecológica Mache - Chindul, Estación Biologica Bilsa, montañas de Mache, 35 kilómetros al occidente del río Cube, al nor oriente de la esquina de la estación.",,1,1,1,,WGS84,2019,Chris Pallis
31673,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:000016,GBIF,15,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31677,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:000301,GBIF,236,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31679,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:000540,GBIF,404,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31687,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:001267,GBIF,943,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31693,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:001792,GBIF,1313,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31696,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:002344,GBIF,1760,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31704,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:003339,GBIF,2615,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
31710,HUMAN_OBSERVATION,Licania platycalyx,IAvH:BICUB:LAPLANADA:MAGNOLIOPSIDA:OBSERVACIONHUMANA:I2D-BIO_2014_IPT011:004286,GBIF,3381,Manuel Vargas,,1.15,-77.983333,Reserva Natural La Planada,1997.0,1,1,1,,WGS84,2019,
